,From,To,Day,Month,Distance,Occupancy,Fuel_Cost,Ground_Cost,Price
76,2,1,2,3,1717.93,80,6699.927,1400,1781.557037
77,4,6,2,3,623.48,89,2431.572,1950,810.524
78,1,3,7,6,2079.0,93,8108.1,1770,3378.375
79,5,7,5,3,1363.71,84,5318.469,1850,1948.157143
80,7,2,6,9,1561.76,80,6090.864,1925,1637.025542
81,2,1,1,3,1717.93,92,6699.927,1400,3025.050652
82,7,2,4,6,1561.76,89,6090.864,1925,1693.474699
83,1,3,5,6,2079.0,77,8108.1,1770,1935.62069
84,1,3,7,5,2079.0,90,8108.1,1770,3617.46
85,2,1,2,6,1717.93,76,6699.927,1400,1862.815663
86,1,3,2,6,2079.0,77,8108.1,1770,2338.875
87,1,3,5,6,2079.0,87,8108.1,1770,2133.710526
88,7,2,6,1,1561.76,90,6090.864,1925,1634.4
89,7,2,6,5,1561.76,78,6090.864,1925,1394.428571
90,1,3,2,5,2079.0,89,8108.1,1770,2283.971831
91,1,3,2,6,2079.0,87,8108.1,1770,2494.8
92,2,1,3,12,1717.93,78,6699.927,1400,2126.960952
93,1,3,2,6,2079.0,81,8108.1,1770,2556.147541
94,7,2,1,4,1561.76,94,6090.864,1925,2623.7568
95,5,7,6,6,1363.71,87,5318.469,1850,1504.091912
96,2,1,4,5,1717.93,82,6699.927,1400,2220.094154
97,2,1,4,3,1717.93,77,6699.927,1400,2378.672308
98,4,6,3,6,623.48,90,2431.572,1950,668.0142857
99,1,3,6,12,2079.0,85,8108.1,1770,1962.202247
100,7,2,4,5,1561.76,90,6090.864,1925,2040.363871
101,7,2,6,9,1561.76,79,6090.864,1925,2267.070968
102,1,3,2,6,2079.0,80,8108.1,1770,2551.5
103,7,2,5,12,1561.76,86,6090.864,1925,1353.525333
104,2,1,7,1,1717.93,96,6699.927,1400,3092.274
105,1,3,7,5,2079.0,90,8108.1,1770,4351.395349
106,1,3,4,3,2079.0,86,8108.1,1770,2878.615385
107,1,3,4,3,2079.0,78,8108.1,1770,2182.95
108,1,3,5,9,2079.0,87,8108.1,1770,2201.294118
109,1,3,6,5,2079.0,81,8108.1,1770,2923.59375
110,2,1,2,3,1717.93,84,6699.927,1400,2091.393043
111,2,1,4,12,1717.93,89,6699.927,1400,2177.657746
112,7,2,5,12,1561.76,85,6090.864,1925,1301.466667
113,1,3,2,6,2079.0,81,8108.1,1770,2175.697674
114,1,3,5,6,2079.0,79,8108.1,1770,2030.651163
115,1,3,7,5,2079.0,95,8108.1,1770,4351.395349
116,1,3,2,6,2079.0,84,8108.1,1770,2751.617647
117,1,3,1,3,2079.0,95,8108.1,1770,3436.714286
118,2,1,6,12,1717.93,76,6699.927,1400,1552.346386
119,1,3,5,9,2079.0,85,8108.1,1770,2699.597015
120,2,1,4,9,1717.93,79,6699.927,1400,2240.778261
121,4,6,3,3,623.48,77,2431.572,1950,748.176
122,7,2,4,6,1561.76,87,6090.864,1925,1860.331765
123,1,3,5,1,2079.0,85,8108.1,1770,2289.531646
124,5,7,5,12,1363.71,81,5318.469,1850,1818.28
125,7,2,3,5,1561.76,77,6090.864,1925,2156.71619
126,7,2,6,12,1561.76,84,6090.864,1925,1697.565217
127,7,2,4,6,1561.76,85,6090.864,1925,1677.445926
128,2,1,2,6,1717.93,83,6699.927,1400,1763.138684
129,5,7,4,3,1363.71,87,5318.469,1850,1762.332923
130,2,1,5,3,1717.93,75,6699.927,1400,1595.220714
131,1,3,7,6,2079.0,93,8108.1,1770,3543.75
132,1,3,5,12,2079.0,84,8108.1,1770,2079.0
133,7,2,7,6,1561.76,97,6090.864,1925,2981.541818
134,1,3,3,5,2079.0,90,8108.1,1770,2306.835616
135,1,3,7,5,2079.0,97,8108.1,1770,4563.658537
136,1,3,5,6,2079.0,77,8108.1,1770,2179.192771
137,1,3,5,6,2079.0,88,8108.1,1770,2079.0
138,2,1,6,5,1717.93,76,6699.927,1400,2061.516
139,1,3,1,3,2079.0,96,8108.1,1770,4206.348837
140,1,3,4,9,2079.0,78,8108.1,1770,2259.782609
141,7,2,5,6,1561.76,78,6090.864,1925,1331.045455
142,1,3,7,6,2079.0,98,8108.1,1770,4252.5
143,1,3,6,9,2079.0,85,8108.1,1770,2328.48
144,1,3,3,5,2079.0,75,8108.1,1770,1940.4
145,7,2,3,5,1561.76,79,6090.864,1925,1542.714146
146,1,3,4,3,2079.0,89,8108.1,1770,2598.75
147,1,3,2,3,2079.0,90,8108.1,1770,2476.455882
148,1,3,2,6,2079.0,80,8108.1,1770,2126.25
149,1,3,6,9,2079.0,90,8108.1,1770,2621.347826
150,7,2,2,3,1561.76,90,6090.864,1925,1845.716364
151,1,3,5,3,2079.0,85,8108.1,1770,2615.516129
152,2,1,5,6,1717.93,90,6699.927,1400,2365.674098
153,7,2,5,12,1561.76,87,6090.864,1925,1653.628235
154,7,2,6,5,1561.76,78,6090.864,1925,1964.794839
155,7,2,5,9,1561.76,89,6090.864,1925,2007.977143
156,1,3,5,6,2079.0,89,8108.1,1770,2494.8
157,2,1,1,3,1717.93,100,6699.927,1400,3162.552955
158,7,2,5,12,1561.76,80,6090.864,1925,1400.198621
159,1,3,2,6,2079.0,76,8108.1,1770,2574.0
160,7,2,7,1,1561.76,97,6090.864,1925,3346.628571
161,2,1,1,3,1717.93,97,6699.927,1400,3155.381633
162,7,2,6,9,1561.76,79,6090.864,1925,1301.466667
163,1,3,5,9,2079.0,87,8108.1,1770,2371.816901
164,1,3,6,12,2079.0,86,8108.1,1770,1878.614458
165,1,3,2,5,2079.0,79,8108.1,1770,2104.9875
166,4,6,1,3,623.48,93,2431.572,1950,1205.394667
167,2,1,3,5,1717.93,78,6699.927,1400,2307.667164
168,1,3,4,3,2079.0,80,8108.1,1770,2970.0
169,2,1,2,5,1717.93,86,6699.927,1400,1992.7988
170,1,3,2,3,2079.0,82,8108.1,1770,2103.174419
171,1,3,5,4,2079.0,81,8108.1,1770,2259.782609
172,7,2,6,9,1561.76,80,6090.864,1925,1561.76
173,1,3,5,6,2079.0,81,8108.1,1770,2297.842105
174,7,2,4,6,1561.76,78,6090.864,1925,2129.672727
175,7,2,6,12,1561.76,80,6090.864,1925,1599.851707
176,1,3,2,3,2079.0,83,8108.1,1770,2862.885246
177,7,2,3,5,1561.76,76,6090.864,1925,2090.355692
178,7,2,4,6,1561.76,76,6090.864,1925,1433.144471
179,1,3,3,5,2079.0,83,8108.1,1770,2254.337349
180,1,3,1,1,2079.0,91,8108.1,1770,4067.608696
181,4,6,4,3,623.48,75,2431.572,1950,608.9804651
182,1,3,4,5,2079.0,81,8108.1,1770,2590.753846
183,7,2,4,6,1561.76,89,6090.864,1925,1697.565217
184,5,7,5,12,1363.71,80,5318.469,1850,1648.664328
185,1,3,2,6,2079.0,89,8108.1,1770,1981.164706
186,1,3,5,6,2079.0,82,8108.1,1770,2772.0
187,7,2,5,6,1561.76,77,6090.864,1925,1681.895385
188,7,2,4,3,1561.76,87,6090.864,1925,1929.232941
189,2,1,6,12,1717.93,87,6699.927,1400,1488.872667
190,2,1,1,3,1717.93,94,6699.927,1400,3393.959268
191,1,3,4,3,2079.0,78,8108.1,1770,2156.0
192,1,3,2,6,2079.0,86,8108.1,1770,2104.9875
193,2,1,5,6,1717.93,89,6699.927,1400,2186.456364
194,2,1,3,12,1717.93,88,6699.927,1400,1761.421899
195,5,7,5,6,1363.71,88,5318.469,1850,1316.685517
196,7,2,6,12,1561.76,86,6090.864,1925,1353.525333
197,1,3,2,6,2079.0,80,8108.1,1770,2328.48
198,2,1,2,3,1717.93,85,6699.927,1400,1696.184051
199,1,3,4,3,2079.0,84,8108.1,1770,2359.945946
200,7,2,1,3,1561.76,90,6090.864,1925,2724.0
201,2,1,4,3,1717.93,79,6699.927,1400,1637.086235
202,1,3,4,4,2079.0,75,8108.1,1770,1751.966292
203,1,3,7,5,2079.0,98,8108.1,1770,3898.125
204,1,3,4,3,2079.0,86,8108.1,1770,2514.919355
205,2,1,5,4,1717.93,80,6699.927,1400,1923.05597
206,1,3,4,3,2079.0,88,8108.1,1770,3067.377049
207,2,1,5,6,1717.93,78,6699.927,1400,1717.93
208,7,2,3,5,1561.76,79,6090.864,1925,2037.078261
209,1,3,7,5,2079.0,98,8108.1,1770,3508.3125
210,2,1,5,12,1717.93,81,6699.927,1400,2264.544091
211,1,3,5,6,2079.0,75,8108.1,1770,2411.64
212,1,3,5,6,2079.0,77,8108.1,1770,2425.5
213,1,3,4,3,2079.0,76,8108.1,1770,2556.147541
214,1,3,1,1,2079.0,91,8108.1,1770,4351.395349
215,4,6,2,6,623.48,76,2431.572,1950,801.6171429
216,7,2,6,9,1561.76,75,6090.864,1925,1601.298228
217,2,1,1,1,1717.93,100,6699.927,1400,2839.843469
218,2,1,5,12,1717.93,86,6699.927,1400,2372.379524
219,1,3,6,9,2079.0,87,8108.1,1770,1935.62069
220,2,1,4,12,1717.93,88,6699.927,1400,1498.194767
221,1,3,6,12,2079.0,88,8108.1,1770,2772.0
222,4,6,2,3,623.48,85,2431.572,1950,753.3716667
223,1,3,5,9,2079.0,87,8108.1,1770,2772.0
224,1,3,6,9,2079.0,88,8108.1,1770,2127.917647
225,1,3,5,6,2079.0,75,8108.1,1770,2461.973684
226,1,3,1,3,2079.0,91,8108.1,1770,4677.75
227,2,1,7,4,1717.93,100,6699.927,1400,2863.216667
228,4,6,3,5,623.48,75,2431.572,1950,646.5718519
229,4,6,2,5,623.48,81,2431.572,1950,834.504
230,7,2,1,3,1561.76,100,6090.864,1925,2486.066939
231,7,2,4,12,1561.76,76,6090.864,1925,1368.733483
232,1,3,7,5,2079.0,95,8108.1,1770,4019.4
233,1,3,3,9,2079.0,83,8108.1,1770,1958.127907
234,1,3,7,1,2079.0,96,8108.1,1770,3309.428571
235,7,2,7,1,1561.76,97,6090.864,1925,2900.411429
236,1,3,2,6,2079.0,78,8108.1,1770,1871.1
237,1,3,7,5,2079.0,93,8108.1,1770,3492.72
238,2,1,6,3,1717.93,88,6699.927,1400,1741.14527
239,1,3,2,6,2079.0,90,8108.1,1770,2281.829268
240,2,1,2,3,1717.93,87,6699.927,1400,1431.608333
241,7,2,5,6,1561.76,82,6090.864,1925,1836.123243
242,1,3,6,9,2079.0,86,8108.1,1770,2368.481013
243,5,7,6,12,1363.71,90,5318.469,1850,1614.919737
244,5,7,2,3,1363.71,80,5318.469,1850,1380.756375
245,2,1,4,4,1717.93,85,6699.927,1400,2233.309
246,1,3,6,9,2079.0,90,8108.1,1770,2007.310345
247,1,3,4,5,2079.0,76,8108.1,1770,2590.753846
248,5,7,5,6,1363.71,83,5318.469,1850,1527.3552
249,1,3,5,6,2079.0,88,8108.1,1770,2615.516129
250,1,3,1,3,2079.0,96,8108.1,1770,4411.536585
251,1,3,1,1,2079.0,92,8108.1,1770,3848.361702
252,7,2,6,5,1561.76,81,6090.864,1925,1433.144471
253,1,3,4,3,2079.0,88,8108.1,1770,1925.0
254,1,3,5,3,2079.0,86,8108.1,1770,2621.347826
255,4,6,5,3,623.48,79,2431.572,1950,615.8765854
256,2,1,5,9,1717.93,77,6699.927,1400,1999.978209
257,2,1,6,6,1717.93,75,6699.927,1400,1696.184051
258,1,3,5,6,2079.0,77,8108.1,1770,2658.393443
259,1,3,4,3,2079.0,84,8108.1,1770,1962.202247
260,2,1,4,3,1717.93,86,6699.927,1400,1758.351882
261,2,1,1,3,1717.93,98,6699.927,1400,2960.687872
262,7,2,2,3,1561.76,87,6090.864,1925,1673.314286
263,1,3,3,9,2079.0,86,8108.1,1770,2205.768293
264,7,2,3,5,1561.76,79,6090.864,1925,1421.377079
265,1,3,5,3,2079.0,87,8108.1,1770,2792.686567
266,1,3,2,6,2079.0,79,8108.1,1770,2133.710526
267,7,2,6,12,1561.76,85,6090.864,1925,1526.66427
268,5,7,5,1,1363.71,87,5318.469,1850,1294.661392
269,2,1,2,6,1717.93,86,6699.927,1400,2089.374324
270,7,2,7,1,1561.76,98,6090.864,1925,2953.763478
271,1,3,6,12,2079.0,76,8108.1,1770,2297.842105
272,1,3,1,1,2079.0,95,8108.1,1770,3660.847826
273,1,3,5,6,2079.0,82,8108.1,1770,2398.846154
274,1,3,4,9,2079.0,84,8108.1,1770,1892.123596
275,4,6,6,3,623.48,79,2431.572,1950,540.3493333
276,4,6,4,3,623.48,82,2431.572,1950,655.8685714
277,7,2,6,12,1561.76,75,6090.864,1925,1582.042597
278,1,3,3,9,2079.0,85,8108.1,1770,1856.25
279,1,3,2,6,2079.0,81,8108.1,1770,2233.0
280,7,2,6,12,1561.76,87,6090.864,1925,1709.494054
281,1,3,1,3,2079.0,90,8108.1,1770,4110.75
282,2,1,6,5,1717.93,75,6699.927,1400,2122.148824
283,7,2,5,6,1561.76,83,6090.864,1925,1920.196721
284,7,2,4,6,1561.76,90,6090.864,1925,1698.414
285,1,3,2,5,2079.0,80,8108.1,1770,2514.919355
286,2,1,5,12,1717.93,78,6699.927,1400,1756.973864
287,1,3,2,6,2079.0,77,8108.1,1770,2606.507463
288,1,3,2,5,2079.0,80,8108.1,1770,2686.707692
289,2,1,3,12,1717.93,82,6699.927,1400,1924.0816
290,1,3,1,3,2079.0,93,8108.1,1770,3660.847826
291,1,3,5,3,2079.0,79,8108.1,1770,2129.707317
292,7,2,5,6,1561.76,82,6090.864,1925,2304.236066
293,4,6,2,6,623.48,85,2431.572,1950,623.48
294,7,2,7,5,1561.76,93,6090.864,1925,2953.763478
295,2,1,4,6,1717.93,82,6699.927,1400,1999.978209
296,2,1,5,3,1717.93,80,6699.927,1400,1717.93
297,5,7,2,3,1363.71,77,5318.469,1850,1346.447848
298,1,3,5,6,2079.0,79,8108.1,1770,2871.0
299,2,1,5,9,1717.93,83,6699.927,1400,2004.251667
300,4,6,3,3,623.48,88,2431.572,1950,847.543125
301,2,1,5,6,1717.93,81,6699.927,1400,1660.665667
302,7,2,5,12,1561.76,83,6090.864,1925,1830.1875
303,1,3,5,6,2079.0,75,8108.1,1770,2621.347826
304,1,3,3,9,2079.0,81,8108.1,1770,2514.919355
305,1,3,4,3,2079.0,76,8108.1,1770,2556.147541
306,2,1,6,3,1717.93,80,6699.927,1400,2273.730882
307,1,3,5,6,2079.0,81,8108.1,1770,2281.829268
308,1,3,5,6,2079.0,75,8108.1,1770,2513.41791
309,7,2,4,4,1561.76,83,6090.864,1925,1604.547945
310,7,2,3,5,1561.76,77,6090.864,1925,1579.92
311,1,3,4,3,2079.0,77,8108.1,1770,2384.735294
312,7,2,6,12,1561.76,79,6090.864,1925,1726.155789
313,1,3,1,3,2079.0,96,8108.1,1770,3626.162791
314,5,7,2,6,1363.71,76,5318.469,1850,1547.995135
315,1,3,5,6,2079.0,80,8108.1,1770,2297.842105
316,5,7,3,5,1363.71,87,5318.469,1850,1345.766447
317,1,3,5,6,2079.0,76,8108.1,1770,2025.0
318,1,3,1,1,2079.0,91,8108.1,1770,4677.75
319,7,2,6,3,1561.76,80,6090.864,1925,1698.414
320,2,1,5,6,1717.93,87,6699.927,1400,1840.639286
321,1,3,6,9,2079.0,86,8108.1,1770,3017.903226
322,7,2,7,6,1561.76,99,6090.864,1925,3019.402667
323,2,1,3,12,1717.93,82,6699.927,1400,2034.390789
324,7,2,7,1,1561.76,99,6090.864,1925,2941.92
325,1,3,2,5,2079.0,88,8108.1,1770,2411.64
326,1,3,2,5,2079.0,81,8108.1,1770,2659.897059
327,1,3,2,6,2079.0,80,8108.1,1770,2658.393443
328,2,1,1,3,1717.93,94,6699.927,1400,3513.947727
329,7,2,1,3,1561.76,97,6090.864,1925,2981.541818
330,7,2,6,9,1561.76,88,6090.864,1925,1715.736338
331,1,3,5,3,2079.0,85,8108.1,1770,2556.147541
332,2,1,4,9,1717.93,83,6699.927,1400,1830.951711
333,7,2,3,12,1561.76,83,6090.864,1925,1958.027463
334,2,1,6,5,1717.93,89,6699.927,1400,1717.93
335,7,2,4,6,1561.76,82,6090.864,1925,2073.812459
336,1,3,4,9,2079.0,83,8108.1,1770,2283.971831
337,1,3,4,3,2079.0,90,8108.1,1770,2126.25
338,1,3,3,6,2079.0,76,8108.1,1770,2127.917647
339,1,3,2,5,2079.0,76,8108.1,1770,2133.710526
340,2,1,7,6,1717.93,90,6699.927,1400,2977.745333
341,1,3,2,5,2079.0,86,8108.1,1770,1984.5
342,7,2,5,9,1561.76,87,6090.864,1925,1929.232941
343,1,3,2,6,2079.0,85,8108.1,1770,2461.973684
344,1,3,4,9,2079.0,86,8108.1,1770,2052.683544
345,7,2,5,6,1561.76,81,6090.864,1925,1653.628235
346,1,3,2,5,2079.0,85,8108.1,1770,2816.709677
347,1,3,6,12,2079.0,87,8108.1,1770,2362.5
348,7,2,6,9,1561.76,83,6090.864,1925,1722.529412
349,2,1,4,4,1717.93,85,6699.927,1400,1840.639286
350,2,1,7,4,1717.93,95,6699.927,1400,2960.687872
351,1,3,4,5,2079.0,75,8108.1,1770,2053.646341
352,7,2,7,6,1561.76,93,6090.864,1925,2928.3
353,2,1,5,1,1717.93,82,6699.927,1400,1603.401333
354,1,3,4,3,2079.0,77,8108.1,1770,2191.378378
355,2,1,1,1,1717.93,100,6699.927,1400,3681.278571
356,2,1,2,3,1717.93,77,6699.927,1400,2147.4125
357,1,3,5,3,2079.0,75,8108.1,1770,1885.604651
358,2,1,6,6,1717.93,80,6699.927,1400,2372.379524
359,1,3,2,6,2079.0,80,8108.1,1770,2281.829268
360,2,1,6,9,1717.93,81,6699.927,1400,1810.791081
361,7,2,1,3,1561.76,95,6090.864,1925,2662.090909
362,2,1,5,6,1717.93,79,6699.927,1400,2197.939853
363,2,1,2,6,1717.93,78,6699.927,1400,1850.078462
364,7,2,1,3,1561.76,99,6090.864,1925,2915.285333
365,1,3,4,5,2079.0,82,8108.1,1770,2728.6875
366,1,3,6,12,2079.0,82,8108.1,1770,3067.377049
367,5,7,1,3,1363.71,91,5318.469,1850,2504.773469
368,7,2,4,9,1561.76,78,6090.864,1925,1582.042597
369,2,1,3,9,1717.93,77,6699.927,1400,1717.93
370,1,3,2,4,2079.0,79,8108.1,1770,2598.75
371,7,2,6,5,1561.76,80,6090.864,1925,1421.377079
372,2,1,4,9,1717.93,80,6699.927,1400,2032.480563
373,2,1,2,3,1717.93,84,6699.927,1400,2534.65082
374,4,6,4,3,623.48,80,2431.572,1950,615.5878481
375,1,3,5,9,2079.0,83,8108.1,1770,2631.234375
376,1,3,4,3,2079.0,76,8108.1,1770,2129.707317
377,7,2,6,12,1561.76,87,6090.864,1925,1485.576585
378,7,2,1,3,1561.76,99,6090.864,1925,2662.090909
379,2,1,2,3,1717.93,83,6699.927,1400,1741.14527
380,1,3,2,6,2079.0,81,8108.1,1770,2133.710526
381,1,3,5,9,2079.0,78,8108.1,1770,1834.411765
382,2,1,4,9,1717.93,90,6699.927,1400,1906.196301
383,7,2,7,1,1561.76,90,6090.864,1925,3268.8
384,1,3,5,6,2079.0,76,8108.1,1770,2673.0
385,5,7,4,3,1363.71,86,5318.469,1850,1909.194
386,1,3,1,1,2079.0,97,8108.1,1770,3525.26087
387,4,6,3,6,623.48,89,2431.572,1950,601.9806897
388,7,2,7,5,1561.76,90,6090.864,1925,2591.857021
389,1,3,2,5,2079.0,84,8108.1,1770,2740.5
390,1,3,1,1,2079.0,98,8108.1,1770,3564.0
391,1,3,5,9,2079.0,90,8108.1,1770,1981.164706
392,1,3,4,5,2079.0,81,8108.1,1770,2165.625
393,1,3,1,3,2079.0,98,8108.1,1770,3768.1875
394,1,3,3,5,2079.0,89,8108.1,1770,2475.0
395,2,1,5,6,1717.93,84,6699.927,1400,2307.667164
396,1,3,5,1,2079.0,77,8108.1,1770,2106.0
397,5,7,4,3,1363.71,90,5318.469,1850,1410.734483
398,2,1,3,9,1717.93,90,6699.927,1400,2534.65082
399,7,2,5,6,1561.76,89,6090.864,1925,1681.895385
400,2,1,3,12,1717.93,79,6699.927,1400,2319.2055
401,1,3,4,3,2079.0,86,8108.1,1770,2268.0
402,1,3,7,6,2079.0,96,8108.1,1770,3603.6
403,2,1,3,9,1717.93,88,6699.927,1400,2196.697377
404,1,3,5,6,2079.0,90,8108.1,1770,2556.147541
405,7,2,5,6,1561.76,90,6090.864,1925,1732.911781
406,1,3,3,5,2079.0,75,8108.1,1770,2659.897059
407,2,1,5,4,1717.93,80,6699.927,1400,1698.408068
408,1,3,4,3,2079.0,85,8108.1,1770,2917.306452
409,1,3,6,12,2079.0,80,8108.1,1770,2444.22973
410,1,3,7,5,2079.0,90,8108.1,1770,4110.75
411,7,2,6,12,1561.76,78,6090.864,1925,1561.76
412,1,3,3,5,2079.0,80,8108.1,1770,1930.5
413,1,3,5,3,2079.0,76,8108.1,1770,2055.375
414,2,1,7,5,1717.93,97,6699.927,1400,2886.1224
415,7,2,1,3,1561.76,97,6090.864,1925,2832.96
416,7,2,5,12,1561.76,81,6090.864,1925,1454.052414
417,1,3,7,5,2079.0,94,8108.1,1770,4351.395349
418,1,3,2,6,2079.0,90,8108.1,1770,2459.661972
419,1,3,3,9,2079.0,78,8108.1,1770,2923.59375
420,1,3,4,5,2079.0,89,8108.1,1770,2475.0
421,7,2,7,5,1561.76,98,6090.864,1925,2623.7568
422,4,6,7,5,623.48,91,2431.572,1950,1122.264
423,2,1,4,12,1717.93,76,6699.927,1400,1634.128537
424,5,7,3,5,1363.71,78,5318.469,1850,1587.602687
425,1,3,5,6,2079.0,77,8108.1,1770,2494.8
426,2,1,1,3,1717.93,100,6699.927,1400,3595.667442
427,1,3,4,5,2079.0,79,8108.1,1770,2806.65
428,2,1,4,9,1717.93,82,6699.927,1400,1679.324831
429,7,2,4,6,1561.76,82,6090.864,1925,1378.023529
430,2,1,4,12,1717.93,81,6699.927,1400,1758.351882
431,1,3,5,9,2079.0,78,8108.1,1770,2338.875
432,7,2,6,1,1561.76,82,6090.864,1925,1316.089888
433,2,1,5,4,1717.93,86,6699.927,1400,1999.978209
434,2,1,1,1,1717.93,96,6699.927,1400,3435.86
435,1,3,7,5,2079.0,92,8108.1,1770,3768.1875
436,1,3,1,3,2079.0,97,8108.1,1770,3617.46
437,1,3,1,4,2079.0,95,8108.1,1770,3742.2
438,1,3,4,9,2079.0,82,8108.1,1770,2806.65
439,1,3,5,6,2079.0,76,8108.1,1770,1958.127907
440,2,1,1,4,1717.93,95,6699.927,1400,3558.569286
441,7,2,5,12,1561.76,87,6090.864,1925,1503.917037
442,1,3,7,5,2079.0,94,8108.1,1770,4009.5
443,2,1,6,3,1717.93,89,6699.927,1400,1987.890429
444,7,2,6,9,1561.76,81,6090.864,1925,2030.288
445,2,1,3,6,1717.93,88,6699.927,1400,1987.890429
446,1,3,2,6,2079.0,78,8108.1,1770,2051.644737
447,5,7,1,1,1363.71,99,5318.469,1850,2337.788571
448,7,2,4,5,1561.76,75,6090.864,1925,2018.274462
449,7,2,6,1,1561.76,79,6090.864,1925,1660.60557
450,1,3,6,9,2079.0,90,8108.1,1770,2405.7
451,1,3,1,1,2079.0,98,8108.1,1770,3317.553191
452,1,3,5,6,2079.0,83,8108.1,1770,2528.513514
